date,event,comment,option
2024-01-01,New Year's Day,FESTIVAL,MANDATORY
2024-01-15,PONGAL,FESTIVAL,OPTIONAL
2024-01-16,Thiruvalluvar Day,FESTIVAL,OPTIONAL
2024-01-26,Republic Day,NATIONAL,MANDATORY
2024-03-25,Holi,FESTIVAL,OPTIONAL
2024-03-29,Good Friday,FESTIVAL,OPTIONAL
2024-04-09,Telugu New Year's Day,FESTIVAL,OPTIONAL
2024-04-11,Ramzan,FESTIVAL,OPTIONAL
2024-04-14,Tamil New Year/BR Ambedkar Birthday,FESTIVAL,OPTIONAL
2024-05-01,May Day,NATIONAL,MANDATORY
2024-06-17,Bakrid,FESTIVAL,MANDATORY
2024-08-15,Independence Day,NATIONAL,MANDATORY
2024-08-26,Krishna Jayanthi,FESTIVAL,OPTIONAL
2024-09-07,Vinayakar Chathurthi,FESTIVAL,OPTIONAL
2024-09-16,Milad-un-Nabi,FESTIVAL,OPTIONAL
2024-10-02,"Gandhi Jayanthi,NATIONAL",MANDATORY,
2024-10-11,Ayutha Pooja,FESTIVAL,OPTIONAL
2024-10-31,Diwali,FESTIVAL,MANDATORY
2024-12-25,Christmas,FESTIVAL,MANDATORY
